gmDate,gmTime,seasTyp,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamMin,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptMin,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,poss,pace
2015-10-28,19:30,Regular,Stafford,Derrick,Buchert,Nick,Scott,Kevin,CHI,East,Central,Away,Win,240,1,115,20,20,9,3,24,78,42,0.5385,50,28,0.56,28,14,0.5,20,17,0.85,5,34,39,30,28,28,29,0,0,0,0,46.4286,47.619,0.6624,0.6282,14.7059,68.0,18.7266,9.0432,3.0144,6.0,1.4744,79.5,66.25,115.5522,100.4802,15.072,0.4516,15.7729,1.0,45.0,BKN,East,Atlantic,Home,Loss,240,0,100,19,13,11,5,18,93,39,0.4194,84,39,0.4643,9,0,0.0,28,22,0.7857,16,29,45,19,36,16,29,0,0,0,0,53.5714,48.7179,0.4747,0.4194,35.5556,64.4444,10.9872,11.0528,5.024,5.9524,1.0753,70.5,58.75,100.4802,115.5522,-15.072,0.4333,13.8363,1.4615,84.6154,99.5221,99.5221
2015-10-28,19:30,Regular,Stafford,Derrick,Buchert,Nick,Scott,Kevin,BKN,East,Atlantic,Home,Loss,240,0,100,19,13,11,5,18,93,39,0.4194,84,39,0.4643,9,0,0.0,28,22,0.7857,16,29,45,19,36,16,29,0,0,0,0,53.5714,48.7179,0.4747,0.4194,32.0,85.2941,10.9872,11.0528,5.024,5.9524,1.0753,70.5,58.75,100.4802,115.5522,-15.072,0.4333,13.8363,1.4615,84.6154,CHI,East,Central,Away,Win,240,1,115,20,20,9,3,24,78,42,0.5385,50,28,0.56,28,14,0.5,20,17,0.85,5,34,39,30,28,28,29,0,0,0,0,46.4286,47.619,0.6624,0.6282,12.8205,87.1795,18.7266,9.0432,3.0144,6.0,1.4744,79.5,66.25,115.5522,100.4802,15.072,0.4516,15.7729,1.0,45.0,99.5221,99.5221
2015-10-28,19:30,Regular,Wall,Scott,Crawford,Joe,Van Duyne,Justin,UTA,West,Northwest,Away,Loss,240,0,87,15,12,4,5,25,75,35,0.4667,63,33,0.5238,12,2,0.1667,21,15,0.7143,4,34,38,15,29,20,23,0,0,0,0,46.9136,42.8571,0.5164,0.48,10.2564,80.9524,12.4688,4.4043,5.5054,7.9365,1.16,51.875,43.2292,95.7939,101.2993,-5.5054,0.4217,13.4844,1.25,33.3333,DET,East,Central,Home,Win,240,1,92,16,12,2,4,20,74,30,0.4054,55,23,0.4182,19,7,0.3684,34,25,0.7353,8,35,43,16,25,28,23,0,0,0,0,53.0864,53.3333,0.5171,0.4527,18.6047,81.3953,11.8859,2.2022,4.4043,7.2727,1.2432,58.0,48.3333,101.2993,95.7939,5.5054,0.3846,13.6799,1.3333,16.6667,90.82,90.82
2015-10-28,19:30,Regular,Wall,Scott,Crawford,Joe,Van Duyne,Justin,DET,East,Central,Home,Win,240,1,92,16,12,2,4,20,74,30,0.4054,55,23,0.4182,19,7,0.3684,34,25,0.7353,8,35,43,16,25,28,23,0,0,0,0,53.0864,53.3333,0.5171,0.4527,19.0476,89.7436,11.8859,2.2022,4.4043,7.2727,1.2432,58.0,48.3333,101.2993,95.7939,5.5054,0.3846,13.6799,1.3333,16.6667,UTA,West,Northwest,Away,Loss,240,0,87,15,12,4,5,25,75,35,0.4667,63,33,0.5238,12,2,0.1667,21,15,0.7143,4,34,38,15,29,20,23,0,0,0,0,46.9136,42.8571,0.5164,0.48,10.5263,89.4737,12.4688,4.4043,5.5054,7.9365,1.16,51.875,43.2292,95.7939,101.2993,-5.5054,0.4217,13.4844,1.25,33.3333,90.82,90.82
2015-10-28,19:30,Regular,Smith,Michael,Davis,Marc,Lane,Karl,CHA,East,Southeast,Away,Loss,240,0,94,16,9,4,1,16,84,33,0.3929,60,27,0.45,24,6,0.25,29,22,0.7586,11,32,43,27,17,16,34,0,0,0,0,51.1905,48.4848,0.4857,0.4286,22.0,94.1176,8.5098,4.3321,1.083,1.6667,1.119,59.125,49.2708,101.805,112.6353,-10.8303,0.4024,13.1406,1.7778,44.4444,MIA,East,Southeast,Home,Win,240,0,104,23,13,5,7,25,73,36,0.4932,53,24,0.4528,20,12,0.6,21,20,0.9524,2,39,41,23,31,19,31,0,0,0,0,48.8095,63.8889,0.6323,0.5753,4.878,95.122,13.6497,5.4152,7.5812,13.2075,1.4247,82.125,68.4375,112.6353,101.805,10.8303,0.4286,19.452,1.7692,38.4615,92.3334,92.3334
2015-10-28,19:30,Regular,Smith,Michael,Davis,Marc,Lane,Karl,MIA,East,Southeast,Home,Win,240,0,104,23,13,5,7,25,73,36,0.4932,53,24,0.4528,20,12,0.6,21,20,0.9524,2,39,41,23,31,19,31,0,0,0,0,48.8095,63.8889,0.6323,0.5753,5.8824,78.0,13.6497,5.4152,7.5812,13.2075,1.4247,82.125,68.4375,112.6353,101.805,10.8303,0.4286,19.452,1.7692,38.4615,CHA,East,Southeast,Away,Loss,240,0,94,16,9,4,1,16,84,33,0.3929,60,27,0.45,24,6,0.25,29,22,0.7586,11,32,43,27,17,16,34,0,0,0,0,51.1905,48.4848,0.4857,0.4286,25.5814,74.4186,8.5098,4.3321,1.083,1.6667,1.119,59.125,49.2708,101.805,112.6353,-10.8303,0.4024,13.1406,1.7778,44.4444,92.3334,92.3334
2015-10-28,19:30,Regular,Richardson,Leroy,Mauer,Ken,Adams,Bennie,IND,East,Central,Away,Loss,240,0,99,23,13,14,3,30,86,32,0.3721,63,23,0.3651,23,9,0.3913,31,26,0.8387,8,32,40,30,15,23,31,0,0,0,0,44.4444,71.875,0.4968,0.4244,16.3265,78.0488,11.5412,13.4466,2.8814,4.7619,1.1512,66.875,55.7292,95.087,101.8103,-6.7233,0.3516,16.9566,1.7692,107.6923,TOR,East,Atlantic,Home,Win,240,0,106,19,21,8,2,24,80,36,0.45,62,29,0.4677,18,7,0.3889,39,27,0.6923,9,41,50,20,17,35,34,0,0,0,0,55.5556,52.7778,0.5455,0.4938,18.0,82.0,17.7725,7.6838,1.9209,3.2258,1.325,67.125,55.9375,101.8103,95.087,6.7233,0.3913,13.8524,0.9048,38.0952,104.1152,104.1152
2015-10-28,19:30,Regular,Richardson,Leroy,Mauer,Ken,Adams,Bennie,TOR,East,Atlantic,Home,Win,240,0,106,19,21,8,2,24,80,36,0.45,62,29,0.4677,18,7,0.3889,39,27,0.6923,9,41,50,20,17,35,34,0,0,0,0,55.5556,52.7778,0.5455,0.4938,21.9512,83.6735,17.7725,7.6838,1.9209,3.2258,1.325,67.125,55.9375,101.8103,95.087,6.7233,0.3913,13.8524,0.9048,38.0952,IND,East,Central,Away,Loss,240,0,99,23,13,14,3,30,86,32,0.3721,63,23,0.3651,23,9,0.3913,31,26,0.8387,8,32,40,30,15,23,31,0,0,0,0,44.4444,71.875,0.4968,0.4244,20.0,80.0,11.5412,13.4466,2.8814,4.7619,1.1512,66.875,55.7292,95.087,101.8103,-6.7233,0.3516,16.9566,1.7692,107.6923,104.1152,104.1152
2015-10-28,20:00,Regular,Crawford,Dan,Barnaky,Brent,Forte,Brian,DEN,West,Northwest,Away,Win,240,0,105,26,21,9,10,26,79,40,0.5063,52,27,0.5192,27,13,0.4815,18,12,0.6667,9,40,49,27,26,23,29,0,0,0,0,52.6882,65.0,0.604,0.5886,23.6842,72.7273,19.4589,9.2267,10.2519,19.2308,1.3291,89.0,74.1667,107.6446,87.1409,20.5037,0.4396,19.4146,1.2381,42.8571,HOU,West,Southwest,Home,Loss,240,0,85,17,17,13,8,19,87,30,0.3448,52,22,0.4231,35,8,0.2286,26,17,0.6538,15,29,44,21,28,14,22,0,0,0,0,47.3118,56.6667,0.4317,0.3908,34.0909,65.9091,14.7263,13.3274,8.2015,15.3846,0.977,58.25,48.5417,87.1409,107.6446,-20.5037,0.3371,12.836,1.0,76.4706,97.5432,97.5432
2015-10-28,20:00,Regular,Crawford,Dan,Barnaky,Brent,Forte,Brian,HOU,West,Southwest,Home,Loss,240,0,85,17,17,13,8,19,87,30,0.3448,52,22,0.4231,35,8,0.2286,26,17,0.6538,15,29,44,21,28,14,22,0,0,0,0,47.3118,56.6667,0.4317,0.3908,27.2727,76.3158,14.7263,13.3274,8.2015,15.3846,0.977,58.25,48.5417,87.1409,107.6446,-20.5037,0.3371,12.836,1.0,76.4706,DEN,West,Northwest,Away,Win,240,0,105,26,21,9,10,26,79,40,0.5063,52,27,0.5192,27,13,0.4815,18,12,0.6667,9,40,49,27,26,23,29,0,0,0,0,52.6882,65.0,0.604,0.5886,18.3673,81.6327,19.4589,9.2267,10.2519,19.2308,1.3291,89.0,74.1667,107.6446,87.1409,20.5037,0.4396,19.4146,1.2381,42.8571,97.5432,97.5432
